user_id,assembly,c,c#,c++,css,go,haskell,html,java,javascript,objective-c,php,powershell,python,ruby,swift,sql
007lva,0,0,0,0,0,0.005747126,0,0.051724138,0.01532567,0.049808429,0,0,0,0.010536398,0.216475096,0,0
06wj,0,0,0.017100372,0,0,0,0,0,0,0.327881041,0,0,0,0.028996283,0,0,0
0bserver07,0,0,0,0,0,0,0,0.02688728,0,0.011375388,0.025853154,0,0,0.185108583,0.007238883,0,0
0rca,0,0,0,0,0,0,0.26635514,0,0.018691589,0,0,0,0,0,0.004672897,0,0
0x00A,0,0,0,0.102310231,0.005775578,0,0,0,0,0.268151815,0,0,0,0,0,0,0
0x414c,0,0.006743738,0.02504817,0.113680154,0.01734104,0,0,0.027938343,0.005780347,0.053949904,0,0,0,0.018304432,0,0,0
0xabad1dea,0.182352941,0.064705882,0,0,0,0,0,0.082352941,0,0.058823529,0,0.005882353,0,0.076470588,0,0,0
0xBADC0FFEE,0,0,0,0,0,0.132911392,0,0.044303797,0,0.234177215,0,0,0,0.006329114,0,0,0
0xced,0,0.027089337,0,0.000576369,0,0,0,0,0,0,0.201729107,0,0,0.008645533,0.027089337,0.036311239,0
0xdco,0,0,0,0,0,0,0,0,0,0.008108108,0,0,0,0.062162162,0.224324324,0,0
0xKD,0,0.003880983,0.007761966,0,0,0,0,0.056921087,0.090556274,0.090556274,0,0,0,0.199223803,0,0.04915912,0
0xKirill,0,0.052830189,0,0,0,0,0,0,0,0.003773585,0,0,0,0.403773585,0,0,0
0xNacho,0,0.011503698,0,0,0,0,0,0.031224322,0.163516845,0.072308956,0,0,0,0.005751849,0,0,0
0xtr,0,0.473684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ch,0,0,0,0,0.070159027,0,0,0.049579046,0,0.328344247,0,0,0,0.00748363,0,0,0
103yiran,0,0.0078125,0,0.17578125,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,0,0,0,0,0.13559322,0,0,0,0,0.305084746,0,0,0,0.033898305,0,0,0
10for2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
11111000000,0,0,0,0,0.005390836,0,0,0.026055705,0,0.124887691,0,0,0,0,0,0,0
121onto,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0.276315789,0,0,0
123nobody,0,0,0,0,0,0,0,0.035582822,0.020858896,0.049079755,0.282208589,0,0,0.025766871,0,0.030674847,0
14lox,0,0,0,0,0.040034813,0.024369017,0,0,0,0.067014795,0.235857267,0.000870322,0,0,0.01740644,0.022628372,0
178inaba,0,0,0.023589744,0,0,0.344615385,0,0.033846154,0,0.014358974,0,0.027692308,0,0,0,0.024615385,0
183amir,0,0,0,0.014270033,0,0,0,0,0,0,0,0,0,0.470911087,0,0,0
184565673,0,0,0,0,0,0,0,0,0,0.470588235,0,0,0,0,0,0,0
19Gerhard85,0,0,0,0,0,0,0,0,0,0.214285714,0,0,0,0,0,0,0
1duo,0,0.005,0,0.04,0,0,0,0,0,0,0,0,0,0.15,0,0,0
1ed,0,0,0,0,0,0,0,0.014608234,0,0.033200531,0,0.177954847,0,0,0.034528552,0,0
1gor,0,0.002588997,0,0,0,0.022653722,0,0.014886731,0,0,0,0,0,0.021359223,0.011650485,0,0
1itvinka,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
1ps0,0,0,0,0,0,0,0,0.067114094,0,0.174496644,0.147651007,0,0,0,0.020134228,0,0
1RedOne,0,0,0.074040219,0,0.043875686,0,0,0.004570384,0,0.015539305,0,0,0.314442413,0.010054845,0,0,0
1shiharat,0,0,0,0,0.04789644,0,0,0,0,0.137864078,0,0.078964401,0,0,0,0,0
1use,0,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,0,0
1zaak,0,0,0,0,0.03950256,0,0,0.040965618,0.021945867,0.127286028,0,0.016093636,0,0.032187271,0,0,0
213edu,0,0,0,0,0.054794521,0,0,0.116438356,0.342465753,0.047945205,0,0,0,0.226027397,0.034246575,0,0
44551,0,0,0,0,0.028901734,0,0,0.037572254,0.043352601,0.132947977,0,0,0,0.098265896,0,0,0
235,0,0.002493766,0,0,0,0,0,0,0.027431421,0.092269327,0,0,0,0.321695761,0.007481297,0.012468828,0
24icewolf42,0,0,0,0.567567568,0,0,0,0,0.162162162,0,0,0,0,0,0,0,0
255kb,0,0,0,0,0.026709402,0,0,0.040598291,0.013888889,0.064102564,0,0,0,0,0,0,0
25thhour,0,0,0,0,0,0,0,0.095238095,0,0.047619048,0,0,0,0,0,0,0
26medias,0,0,0,0,0.031071137,0,0,0.02207686,0,0.246933769,0,0.008176615,0,0,0,0,0
284km,0,0,0,0,0,0,0,0,0.010371651,0.012964564,0,0,0,0,0.262748487,0,0
29decibel,0,0,0,0,0,0.051323176,0,0.02085004,0,0.069767442,0,0,0,0.018444266,0.034482759,0,0
2bbb,0,0.004716981,0,0.212264151,0.022641509,0,0,0.021698113,0,0.123584906,0,0,0,0,0,0.022641509,0
2bj,0,0,0,0,0.012241775,0,0,0.020657995,0,0.078041316,0.031369549,0.144605968,0,0,0.004590666,0,0
2c2c,0,0.026627219,0,0.00887574,0,0,0,0,0,0.415680473,0,0,0,0.128698225,0,0,0
2dxgujun,0,0,0,0,0.045092838,0,0,0,0.148541114,0.070291777,0,0,0,0,0.018567639,0,0
2gua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2mittens,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0.456521739,0
2ndtonone,0,0,0,0,0,0,0,0,0.361111111,0,0,0,0,0,0,0,0
2p0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2pi,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0
2xyo,0,0,0,0,0,0,0,0,0,0.002929688,0,0,0.029296875,0.235351563,0,0,0
321cyb,0,0.003984064,0,0.015936255,0.047808765,0.043824701,0.023904382,0,0,0.059760956,0,0,0,0.119521912,0,0,0
343dev,0,0,0,0,0,0,0,0.134615385,0,0.557692308,0,0,0,0,0,0,0
343max,0,0,0,0,0,0,0,0,0,0.073743922,0.214748784,0.025931929,0,0.024311183,0,0.08184765,0
3h4x,0,0,0,0,0.017322835,0.054330709,0,0,0,0.027559055,0,0,0,0.075590551,0.006299213,0,0
3rd-Eden,0,0,0,0.017437453,0,0,0,0.007581501,0,0.341167551,0,0,0,0,0,0,0
3rdman,0,0,0,0,0,0.031147541,0,0.019672131,0.012295082,0,0,0.023770492,0,0.037704918,0.036065574,0,0
40,0,0,0.029748284,0.043478261,0,0,0,0,0,0.114416476,0,0.036613272,0,0.011441648,0,0,0
404pnf,0,0,0,0,0,0,0,0,0,0.267857143,0,0.066558442,0,0,0.337662338,0,0
40thieves,0,0,0,0,0.005687204,0,0,0,0,0.27014218,0,0.057819905,0,0,0.020853081,0,0
42antoine,0,0,0,0,0,0,0,0,0,0.12244898,0,0.183673469,0,0,0,0,0
42thcoder,0,0,0,0,0.019638649,0.027494108,0,0.029850746,0,0.016496465,0,0,0,0,0.211311862,0,0
44670,0,0.355867347,0.052295918,0.06377551,0,0.028061224,0,0,0,0.047193878,0,0,0,0.029336735,0,0,0
4bh1nav,0,0,0,0,0,0,0,0.032520325,0.658536585,0.024390244,0,0,0,0.12195122,0,0,0
4brunu,0,0.032608696,0,0.070652174,0.012681159,0,0,0.03442029,0.106884058,0,0.028985507,0,0,0,0.010869565,0.036231884,0
4dma,0,0,0,0,0,0,0,0,0,0.095238095,0,0.219047619,0,0.019047619,0,0,0
4gray,0,0,0,0,0,0,0,0.022421525,0.02690583,0.139013453,0,0,0,0,0,0,0
4iji,0,0,0,0,0,0,0,0,0,0.003917728,0.008814887,0,0,0.460333007,0,0,0
4nd3r,0,0,0,0,0,0,0,0.037735849,0,0,0,0.018867925,0,0.094339623,0,0,0
54sword,0,0,0,0,0,0,0,0,0,0.31547619,0,0,0,0,0,0,0
551618846,0,0,0,0,0,0,0,0.062947067,0.313304721,0.095851216,0,0.072961373,0,0.068669528,0,0,0
5d,0,0,0,0,0.044444444,0,0,0,0,0.111111111,0,0,0,0,0.014814815,0.059259259,0
5outh,0,0,0,0,0,0.017751479,0.269822485,0.028402367,0,0.106508876,0,0.044970414,0,0.040236686,0,0,0
5pecia1,0,0.022584693,0,0,0,0.037641154,0.060225847,0.09033877,0.120451694,0.053952321,0,0,0,0.094102886,0.021329987,0,0
6,0,0,0.014409222,0,0.045148895,0,0,0,0.009606148,0.148895293,0.036503362,0,0,0.04418828,0.155619597,0,0
62Gerente,0,0.012048193,0,0.015490534,0,0,0.020654045,0,0.137693632,0.075731497,0,0,0,0.04302926,0.037865749,0,0
6D65,0,0.117647059,0.31372549,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0
